"StopUID","StopID","StopName.Zh_tw","StopName.En","StopPosition.PositionLat","StopPosition.PositionLon"
"THB-VO14-2290066","290066","安通溫泉","Antong Hot Spring","23.28103","121.34129"
"THB-VO14-2290064","290064","安通村","Antong Village","23.28825","121.33947"
"THB-VO14-2290062","290062","安通社區","Antong Community","23.29516","121.33439"
"THB-VO14-2182990","182990","安通","Antong","23.29936","121.33301"
"THB-VO14-2290060","290060","南通","Nantung","23.30787","121.33559"
"THB-VO14-2290054","290054","樂合（鼎東）","Lehe","23.32101","121.33595"
"THB-VO14-2292654","292654","玉里慈濟醫院","Yuli Ciji hospital","23.335","121.3188"
"THB-VO14-2290052","290052","玉里火車站","TRA Yuli Station","23.33183","121.31247"
"THB-VO14-2290050","290050","玉里榮民醫院","Yuli Veterans Hospital","23.339","121.3128"
"THB-VO14-2300214","300214","高雄國際航空站","Kaohsiung International Airport","22.5708612","120.341544"
"THB-VO14-2300215","300215","潮州","Chaozhou","22.5493959","120.5365724"
"THB-VO14-2289998","289998","枋寮站","Fangliao Station","22.3676","120.59393"
"THB-VO14-2289967","289967","海口","Haikou","22.08766","120.71601"
"THB-VO14-2290000","290000","車城","Checheng","22.07236","120.71395"
"THB-VO14-2300219","300219","南保力站（海生館轉乘站）","HWY：Head south from Kaohsiung and change to the 88","22.05313","120.72199"
"THB-VO14-2290010","290010","恆春站","Hengchun","22.002389","120.745261"
"THB-VO14-2290005","290005","南灣","Nanwan","21.95995","120.76482"
"THB-VO14-2300221","300221","墾丁站(小灣)","Kenting station(Xiaowan)","21.94182","120.80543"
"THB-VO14-2266009","266009","高鐵左營站","HSR Zuoying Station","22.686938","120.308618"
"THB-VO14-2290016","290016","大鵬灣","Dapeng Bay","22.456972","120.479889"
"THB-VO14-2270113","270113","旗山北站","Qishan North Station","22.896043","120.483457"
"THB-VO14-2241318","241318","中華路口(旗)","Zhonghua Road Intersection (flag)","22.89278","120.4833"
"THB-VO14-2241459","241459","延平市場","Yanping Market","22.8899","120.48332"
"THB-VO14-273734","73734","延平路","Yanping Road","22.88762","120.48313"
"THB-VO14-2270114","270114","旗山轉運站","Qishan Bus Station","22.883651","120.484555"
"THB-VO14-2179153","179153","旗山糖廠","Qishan Sugar Refinery","22.8818","120.492"
"THB-VO14-2178837","178837","旗尾","Qiwei","22.88226","120.49411"
"THB-VO14-2270791","270791","興中路口","Xingzhong Rd. Intersection","22.88088","120.49581"
"THB-VO14-2270646","270646","鳳山寺","Fengshan Temple","22.87718","120.49702"
"THB-VO14-284373","84373","下清水","Xiaqingshui","22.86507","120.5015"
"THB-VO14-2269269","269269","手巾寮","Shoujinliao","22.85662","120.50475"
"THB-VO14-2270304","270304","新吉街","Xinji Street","22.8489","120.50462"
"THB-VO14-2269405","269405","吉洋路口","Jiyang Rd. Intersection","22.83946","120.50442"
"THB-VO14-2269158","269158","北安村","Bei-an Village","22.82395","120.50536"
"THB-VO14-2269806","269806","南興里","Nanxing Village","22.8144515041518","120.505596667459"
"THB-VO14-2269450","269450","三張廍","sanzhangbu","22.8104093067122","120.503339344926"
"THB-VO14-2269055","269055","北堤防","Beitifang","22.803769","120.50117"
"THB-VO14-284383","84383","南堤防","Nantifang","22.785539","120.499935"
"THB-VO14-284384","84384","下里港","Xialigang","22.78232","120.49369"
"THB-VO14-284385","84385","里港鄉公所","Ligang Township Office","22.77958","120.49423"
"THB-VO14-2282465","282465","里港","Ligang","22.774681","120.49427"
"THB-VO14-284378","84378","瀰力村","Mili Village","22.82257","120.49132"
"THB-VO14-2292337","292337","土庫國小","Tuku Elementary School","22.80786","120.49263"
"THB-VO14-2294936","294936","台南車站","TRA Tainan Station","22.99758","120.211321"
"THB-VO14-2295189","295189","東門圓環","Dongmen Traffic Circle","22.99086","120.21165"
"THB-VO14-2294958","294958","東門教會","Dongmen Church","22.98746","120.21568"
"THB-VO14-2294959","294959","東門城","Dongmencheng","22.98658","120.21851"
"THB-VO14-2294937","294937","龍山寺","Lung Shan Temple","22.98584","120.22129"
"THB-VO14-2294960","294960","富強市場","Fuqiang Market","22.98272","120.22727"
"THB-VO14-2294961","294961","東門路","Dongmen Road","22.98171","120.22845"
"THB-VO14-2294962","294962","虎尾寮","Huweiliao","22.98002","120.23079"
"THB-VO14-2294963","294963","富農街口","Funong Street Intersection","22.97674","120.23522"
"THB-VO14-2294964","294964","嘉南療養院","Jianan Mental Hospital","22.97433","120.24193"
"THB-VO14-2294965","294965","仁德交流道","Rende Interchange","22.97302","120.24619"
"THB-VO14-2294966","294966","仁德","Rende","22.97149","120.25217"
"THB-VO14-2294967","294967","仁義里","Renyi Village","22.97122","120.25579"
"THB-VO14-2294968","294968","鍾厝","Zhongcuo","22.97091","120.25802"
"THB-VO14-2294969","294969","慈濟台南分會","Tzu Chi-Tainan Branch","22.97058","120.26031"
"THB-VO14-2294977","294977","義林ㄧ街","Songgen Company","22.97035","120.26207"
"THB-VO14-2295190","295190","林仔","Linzi","22.97006","120.26508"
"THB-VO14-2294978","294978","貝汝流通","Beiruliutong","22.96941","120.27049"
