Regent,Price
2012/1/5,212.6
2012/1/6,213.18
2012/1/9,213.77
2012/1/10,217.57
2012/1/11,219.04
2012/1/12,226.95
2012/1/13,234.85
2012/1/16,233.97
2012/1/17,238.37
2012/1/18,242.17
2012/1/30,243.34
2012/1/31,241
2012/2/1,243.64
2012/2/2,255.06
2012/2/3,259.45
2012/2/4,260.91
2012/2/6,262.67
2012/2/7,260.62
2012/2/8,269.41
2012/2/9,266.48
2012/2/10,267.65
2012/2/13,263.84
2012/2/14,268.82
2012/2/15,265.01
2012/2/16,258.86
2012/2/17,258.28
2012/2/20,261.79
2012/2/21,262.09
2012/2/22,265.01
2012/2/23,264.72
2012/2/24,263.55
2012/2/29,274.38
2012/3/1,272.92
2012/3/2,272.63
2012/3/3,276.14
2012/3/5,273.51
2012/3/6,266.48
2012/3/7,262.67
2012/3/8,262.96
2012/3/9,264.14
2012/3/12,259.45
2012/3/13,261.79
2012/3/14,262.09
2012/3/15,261.79
2012/3/16,258.28
2012/3/19,255.35
2012/3/20,253.89
2012/3/21,257.69
2012/3/22,258.28
2012/3/23,254.76
2012/3/26,252.71
2012/3/27,252.71
2012/3/28,253.3
2012/3/29,245.39
2012/3/30,244.52
2012/4/2,241.88
2012/4/3,240.12
2012/4/5,234.27
2012/4/6,235.44
2012/4/9,232.8
2012/4/10,237.19
2012/4/11,239.54
2012/4/12,240.71
2012/4/13,244.81
2012/4/16,240.71
2012/4/17,235.14
2012/4/18,237.19
2012/4/19,238.37
2012/4/20,235.14
2012/4/23,231.63
2012/4/24,231.63
2012/4/25,231.34
2012/4/26,231.92
2012/4/27,233.1
2012/4/30,232.51
2012/5/2,241
2012/5/3,238.37
2012/5/4,238.95
2012/5/7,233.68
2012/5/8,234.27
2012/5/9,232.51
2012/5/10,232.51
2012/5/11,225.48
2012/5/14,219.04
2012/5/15,215.82
2012/5/16,208.79
2012/5/17,210.84
2012/5/18,198.54
2012/5/21,203.81
2012/5/22,203.81
2012/5/23,199.71
2012/5/24,197.66
2012/5/25,198.25
2012/5/28,199.13
2012/5/29,204.98
2012/5/30,200.3
2012/5/31,202.64
2012/6/1,193.27
2012/6/4,179.8
2012/6/5,178.34
2012/6/6,183.61
2012/6/7,185.36
2012/6/8,184.78
2012/6/11,185.36
2012/6/12,182.43
2012/6/13,188
2012/6/14,186.83
2012/6/15,199.71
2012/6/18,199.13
2012/6/19,196.2
2012/6/20,197.96
2012/6/21,197.96
2012/6/22,195.03
2012/6/25,189.76
2012/6/26,183.9
2012/6/27,184.48
2012/6/28,183.31
2012/6/29,185.66
2012/7/2,184.78
2012/7/3,187.12
2012/7/4,191.22
2012/7/5,190.63
2012/7/6,187.12
2012/7/9,187.12
2012/7/10,184.48
2012/7/11,183.31
2012/7/12,179.58
2012/7/13,176.55
2012/7/16,176.55
2012/7/17,172
2012/7/18,165.63
2012/7/19,165.93
2012/7/20,167.14
2012/7/23,164.72
2012/7/24,172.3
2012/7/25,174.12
2012/7/26,177.16
2012/7/27,187.47
2012/7/30,199.3
2012/7/31,195.66
2012/8/1,197.78
2012/8/3,201.12
2012/8/6,201.12
2012/8/7,202.64
2012/8/8,199.6
2012/8/9,202.03
2012/8/10,202.03
2012/8/13,200.21
2012/8/14,200.82
2012/8/15,197.18
2012/8/16,200.21
2012/8/17,198.09
2012/8/20,198.39
2012/8/21,201.42
2012/8/22,199.91
2012/8/23,205.67
2012/8/24,203.55
2012/8/27,202.64
2012/8/28,199.91
2012/8/29,199.3
2012/8/30,197.48
2012/8/31,199
2012/9/3,199
2012/9/4,198.39
2012/9/5,199
2012/9/6,200.51
2012/9/7,202.03
2012/9/10,206.89
2012/9/11,209.89
2012/9/12,207.56
2012/9/13,208.22
2012/9/14,222.57
